"endTime","artistName","trackName","msPlayed","trackGenre"
"2022-04-09 00:19","Tainy","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","207301","unknown_value_please_contact_support"
"2022-04-09 00:32","Rafa Espino","Lo Mejor - feat. Nous Nizzy","139902","R&B/Pop"
"2022-04-09 10:25","Brock Ansiolitiko","Pu?etazos de ausencia","180791","BaladaPop"
"2022-04-09 10:29","Romeo Santos","Debate De 4","279337","Bachata"
"2022-04-09 10:31","PARTYNEXTDOOR","Come and See Me (feat. Drake)","76852","unknown_value_please_contact_support"
"2022-04-09 10:35","Yoskar Sarante","No Tengo Suerte En El Amor","239863","unknown_value_please_contact_support"
"2022-04-09 10:37","Junior & Jorge","Olvidala","156765","unknown_value_please_contact_support"
"2022-04-09 10:40","Plan B","Guatauba","162400","Reggaeton"
"2022-04-09 10:41","Brock Ansiolitiko","Sin ti","26143","BaladaPop"
"2022-04-09 10:41","Carla Morrison","D?jenme Llorar","19095","BaladaPop"
"2022-04-09 10:43","Nicky Jam","El Perd?n (with Enrique Iglesias)","103618","Reggaeton"
"2022-04-09 10:48","Amenazzy","Ah? Ah?","166000","unknown_value_please_contact_support"
"2022-04-09 10:49","Pamel","Todo Contigo","61200","unknown_value_please_contact_support"
"2022-04-09 11:36","Petit Biscuit","Sunset Lover","73820","unknown_value_please_contact_support"
"2022-04-09 12:52","Labrinth","Nate Growing Up","143717","R&B/Pop"
"2022-04-09 13:03","Bad Bunny","NI BIEN NI MAL","41508","Reggaeton"
"2022-04-09 13:13","The Weeknd","Final Lullaby - Bonus Track","185668","R&B/Pop"
"2022-04-09 13:15","Wisin & Yandel","Noche De Sexo","28144","Reggaeton"
"2022-04-09 13:57","Ricardo Arjona","Ella Y El/Historia De Taxi - En Vivo","237584","BaladaPop"
"2022-04-09 14:19","Canserbero","Clima Tropical","264280","Hiphop/Rap"
"2022-04-09 14:30","Akon","Right Now (Na Na Na)","240745","unknown_value_please_contact_support"
"2022-04-09 14:33","Aventura","Te Invito","213280","Bachata"
"2022-04-09 14:42","Camilo","Machu Picchu","78866","Balada"
"2022-04-09 14:46","Avicii","Waiting For Love","230613","unknown_value_please_contact_support"
"2022-04-09 14:47","Beastie Boys","Intergalactic - Remastered 2009","35298","unknown_value_please_contact_support"
"2022-04-09 14:53","Canserbero","Despierta","204800","Hiphop/Rap"
"2022-04-09 14:58","Man?","Amor Clandestino","291866","unknown_value_please_contact_support"
"2022-04-09 15:01","Bad Bunny","YO VISTO AS?","191519","Reggaeton"
"2022-04-09 15:05","Brock Ansiolitiko","F-14","204290","BaladaPop"
"2022-04-09 15:08","Logic","BOBBY (feat. My Dad)","167826","unknown_value_please_contact_support"
"2022-04-09 15:10","J. Cole","9 5 . s o u t h","14519","unknown_value_please_contact_support"
"2022-04-09 15:10","Tommy Torres","Toda la Noche","126735","unknown_value_please_contact_support"
"2022-04-09 15:22","Lasso","De m?, de m?, de m?","21565","unknown_value_please_contact_support"
"2022-04-09 15:26","Joa El Super MC","I Wanna Love You (feat. Lapiz Conciente)","265757","unknown_value_please_contact_support"
"2022-04-09 15:27","Los Enanitos Verdes","Mi Primer Dia Sin Ti","19492","unknown_value_please_contact_support"
"2022-04-09 15:33","Canserbero","El Primer Trago","382432","Hiphop/Rap"
"2022-04-09 15:34","DCS","Est?n Celosos","35211","unknown_value_please_contact_support"
"2022-04-09 15:38","The Script","Breakeven","261411","unknown_value_please_contact_support"
"2022-04-09 15:40","Carla Morrison","Este Momento","38812","BaladaPop"
"2022-04-09 15:40","Messiah","Tu Protagonista (Remix) [feat. Zion Y Lennox, J Balvin & Nicky Jam]","73660","unknown_value_please_contact_support"
"2022-04-09 15:41","Jerry Rivera","Amores Como el Nuestro","29770","unknown_value_please_contact_support"
"2022-04-09 15:41","Sia","Breathe Me","19137","BaladaPop"
"2022-04-09 16:01","Ricardo Arjona","Jes?s Verbo No Sustantivo - New Version","314580","BaladaPop"
"2022-04-09 16:16","Chris Brown","Songs On 12 Play (feat. Trey Songz)","23906","R&B/Pop"
"2022-04-09 16:23","Hans Zimmer","Message from Home","47797","unknown_value_please_contact_support"
"2022-04-09 16:24","MC Fioti","Bum Bum Tam Tam","13023","unknown_value_please_contact_support"
"2022-04-09 16:26","NeonG","Voicenote","164491","unknown_value_please_contact_support"
"2022-04-09 16:29","Wason Brazoban","No Estoy Loco","180392","unknown_value_please_contact_support"
"2022-04-09 16:34","Cultura Prof?tica","Ilegal","305993","unknown_value_please_contact_support"
"2022-04-09 16:40","Daft Punk","Veridis Quo","345186","unknown_value_please_contact_support"
"2022-04-09 16:51","Rels B","Mejor No Nos Vemos","71539","unknown_value_please_contact_support"
"2022-04-09 17:58","Gianluca Grignani","La Mia Storia Tra Le Dita","203238","BAlada"
"2022-04-09 18:04","Residente","Rap Bruto","361164","unknown_value_please_contact_support"
"2022-04-09 18:10","David Guetta","Sexy Bitch (feat. Akon) - Extended","311984","unknown_value_please_contact_support"
"2022-04-09 18:24","Jadiel el Incomparable","Alargame la Vida","114715","unknown_value_please_contact_support"
"2022-04-09 18:40","Plan B","Ella Fuma","271514","Reggaeton"
"2022-04-09 18:51","Vegedream","Ma Go Sure","12720","unknown_value_please_contact_support"
"2022-04-09 19:32","Celia Cruz","La Negra Tiene Tumbao","253331","Salsa"
"2022-04-09 19:33","Toro y Moi","Ordinary Pleasure","75133","unknown_value_please_contact_support"
"2022-04-09 19:37","Bonobo","Kerala","196117","unknown_value_please_contact_support"
"2022-04-09 19:41","Canserbero","Interludio K219","21852","Hiphop/Rap"
"2022-04-09 19:41","Ed Sheeran","Shape of You","233712","unknown_value_please_contact_support"
"2022-04-09 19:42","Goldy Boy","Sospecho","15620","unknown_value_please_contact_support"
"2022-04-09 19:46","Sky Rompiendo","Karma","219746","unknown_value_please_contact_support"
"2022-04-09 19:47","MC Guime","Plaque de 100","47837","unknown_value_please_contact_support"
"2022-04-09 19:56","Frank Ocean","Novacane","302325","unknown_value_please_contact_support"
"2022-04-09 19:57","ZAYN","Dusk Till Dawn (feat. Sia) - Radio Edit","51158","unknown_value_please_contact_support"
"2022-04-09 20:00","Rvssian","Nost?lgico","209863","unknown_value_please_contact_support"
"2022-04-09 20:03","Steve Angello","Lights","44096","unknown_value_please_contact_support"
"2022-04-09 21:06","Anuel AA","Hasta Que Dios Diga","44063","Reggaeton"
"2022-04-09 21:18","Aventura","All Up 2 You (feat. Akon, Wisin & Yandel)","218080","Bachata"
"2022-04-09 21:21","Ozuna","Se Prepar?","188080","Reggaeton"
"2022-04-09 21:25","Don Omar","No Sigue Modas Aka Ella No Sigue Modas","232000","Reggaeton"
"2022-04-09 21:28","Tempo","No Se","145666","unknown_value_please_contact_support"
"2022-04-09 21:31","Yellow Claw","Break of Dawn - Duke & Jones Remix","175544","unknown_value_please_contact_support"
"2022-04-09 21:35","Carbon Fiber Music","Falsas Promesas (Remix)","244507","unknown_value_please_contact_support"
"2022-04-09 21:38","Dynoro","In My Mind","184553","unknown_value_please_contact_support"
"2022-04-09 21:45","DJ Shadow","Six Days - Remix","232000","unknown_value_please_contact_support"
"2022-04-09 21:49","Axwell /\ Ingrosso","Can't Hold Us Down","270884","unknown_value_please_contact_support"
"2022-04-09 21:54","Drake","Nice For What","122460","HipHop"
"2022-04-09 22:12","Eldo","Porque","41170","unknown_value_please_contact_support"
"2022-04-09 22:17","Myke Towers","Si Se Da","237013","unknown_value_please_contact_support"
"2022-04-09 22:24","Aventura","Ella Y Yo - Featuring Don Omar","23656","Bachata"
"2022-04-09 22:24","Don Omar","Carta Al Cielo","310773","Reggaeton"
"2022-04-09 22:25","Coldplay","Every Teardrop Is A Waterfall (Coldplay Vs. Swedish House Mafia)","11795","unknown_value_please_contact_support"
"2022-04-09 22:29","The Chainsmokers","Paris","221473","unknown_value_please_contact_support"
"2022-04-09 22:30","Camilo Sesto","?Quieres Ser Mi Amante?","25331","unknown_value_please_contact_support"
"2022-04-09 22:30","Otherkin","Bad Advice","24206","unknown_value_please_contact_support"
"2022-04-09 22:31","Impish","Hive","24837","unknown_value_please_contact_support"
"2022-04-09 22:31","Michael Leonardi","Fade Away (Prod. Kina)","15130","unknown_value_please_contact_support"
"2022-04-09 22:34","Finding Hope","Love","149258","unknown_value_please_contact_support"
"2022-04-09 22:35","Alex Ubago","Cuenta conmigo","10968","unknown_value_please_contact_support"
"2022-04-09 22:37","Daddy Yankee","Limbo","78830","Reggaeton"
"2022-04-09 22:42","Ray Barretto","Nadie Se Salva De La Rumba","347882","unknown_value_please_contact_support"
"2022-04-09 22:47","Farruko","Hoy (feat. Daddy Yankee, J-Alvarez & Jory)","293773","Reggaeton"
"2022-04-09 22:48","Buddy","Trippin' (feat. Khalid)","16391","unknown_value_please_contact_support"
"2022-04-09 22:52","Jesse Baez","Malib?","220400","unknown_value_please_contact_support"
"2022-04-09 22:57","Don Omar","Luna Llena","248626","Reggaeton"
"2022-04-09 23:00","Predikador","Predikador 2054","202015","unknown_value_please_contact_support"
"2022-04-09 23:01","Chris Brown","Sweet Love","78168","R&B/Pop"
"2022-04-09 23:29","Andy Rivera","Ateo","206984","unknown_value_please_contact_support"
"2022-04-09 23:33","Don Omar","No Te Vayas","238466","Reggaeton"
"2022-04-09 23:34","Daft Punk","Too Long / Steam Machine","11697","unknown_value_please_contact_support"
"2022-04-09 23:34","Mecal","No Retroceder","11018","unknown_value_please_contact_support"
"2022-04-09 23:38","Linkin Park","One More Light","255049","Rock"
"2022-04-09 23:40","Zeri","Secretos De Tu Cama","109031","unknown_value_please_contact_support"
"2022-04-09 23:42","Alexis y Fido","Superh?roe","74978","Reggaeton"
"2022-04-09 23:46","Huey Dunbar","Te Amare","250906","unknown_value_please_contact_support"
"2022-04-09 23:46","Daddy Yankee","Viejas Andadas - Bonus Track","13683","Reggaeton"
"2022-04-09 23:54","Canserbero","C'est La Mort","459363","Hiphop/Rap"
"2022-04-09 23:59","Swedish House Mafia","Miami 2 Ibiza - Extended Vocal Mix","305436","ElecrtoPop"
"2022-04-10 00:11","Chris Brown","Drown In It (feat. R. Kelly)","84400","R&B/Pop"
"2022-04-10 13:40","Lyanno","Mi Llamada (Remix)","36786","Reggaeton"
"2022-04-10 14:32","Linkin Park","Numb - One More Light Live","10390","Rock"
"2022-04-10 14:35","Bulin 47","Lo Cualto Tan Hecho","163595","unknown_value_please_contact_support"
"2022-04-10 14:48","Ram?n Orlando","Este Amor","251826","unknown_value_please_contact_support"
"2022-04-10 14:52","Ricardo Arjona","Tu Boca","195786","BaladaPop"
"2022-04-10 14:56","Ricardo Arjona","Historia - En Vivo","254490","BaladaPop"
"2022-04-10 18:50","Phil Oakey","Together In Electric Dreams - Remastered 2003 / From ""Electric Dreams"" Original Motion Picture Soundtrack","54098","unknown_value_please_contact_support"
"2022-04-10 19:06","Miki Matsubara","Mayonaka no Door / Stay With Me","312293","unknown_value_please_contact_support"
"2022-04-10 19:08","Kirko Bangz","Work Sumn (feat. Tory Lanez and Jacquees)","95938","unknown_value_please_contact_support"
"2022-04-10 19:25","Bolivar Peralta","El Caballo Blanco","184060","unknown_value_please_contact_support"
"2022-04-11 13:27","Cosculluela","Te Busco","233639","Reggaeton"
"2022-04-11 13:39","Joyner Lucas","Stranger Things","219733","unknown_value_please_contact_support"
"2022-04-11 13:42","Divino","Mi Vida","226093","unknown_value_please_contact_support"
"2022-04-11 13:43","Steve Angello","21:","36964","unknown_value_please_contact_support"
"2022-04-11 13:47","Don Omar","Ayer La Vi - Live - Desde Puerto Rico/2007","252634","Reggaeton"
"2022-04-11 14:03","Eddy Lover","En Silencio - Remix","309305","Reggaeton"
"2022-04-11 14:28","Aventura","Ella y Yo - Live","57763","Bachata"
"2022-04-11 14:53","Miri Ben-Ari","Jos? - Live","87162","unknown_value_please_contact_support"
"2022-04-11 14:54","Bear Grillz","Don?t Stop Get It (Basstrick Remix) [feat. Bok Nero]","27682","unknown_value_please_contact_support"
"2022-04-11 14:55","Alexis y Fido","La Intelectual","47841","Reggaeton"
"2022-04-11 14:58","Juanka","Me Va A Extra?ar","227046","unknown_value_please_contact_support"
"2022-04-11 15:02","Hans Zimmer","Who's They?","25640","unknown_value_please_contact_support"
"2022-04-11 15:02","Cashmere Cat","Miss You (with Major Lazer & Tory Lanez)","186225","unknown_value_please_contact_support"
"2022-04-11 15:37","DJ Snake","Middle","220573","ElectroPop"
"2022-04-11 15:53","Eminem","The Ringer","10106","unknown_value_please_contact_support"
"2022-04-11 20:09","Daddy Yankee","REMIX","163680","Reggaeton"
"2022-04-11 20:14","Guayac?n Orquesta","Son Cepillao","305250","unknown_value_please_contact_support"
"2022-04-11 20:37","Alexis y Fido","Algaretismo","55069","Reggaeton"
"2022-04-11 22:36","Daddy Yankee","Qu? Pas?!","13595","Reggaeton"
"2022-04-11 22:36","Wisin & Yandel","Llam? Pa' Verte (Bailando Sexy)","35978","Reggaeton"
"2022-04-11 22:40","Coldplay","Hymn for the Weekend","14701","unknown_value_please_contact_support"
"2022-04-11 22:40","Romeo Santos","El Papel Part 2 (Versi?n Marido)","22230","Bachata"
"2022-04-11 22:45","Gadiel","Has Cambiado (feat. Justin Quiles)","163466","unknown_value_please_contact_support"
"2022-04-11 22:48","X Ambassadors","Unsteady","157304","unknown_value_please_contact_support"
"2022-04-11 22:48","Pamel","Loca","13122","unknown_value_please_contact_support"
"2022-04-11 22:57","Stromae","Papaoutai","73580","ElectroPop/R&B"
"2022-04-12 01:05","Stromae","carmen","150943","ElectroPop/R&B"
"2022-04-12 01:10","KHEA","Loca - Remix","161324","unknown_value_please_contact_support"
"2022-04-12 01:14","Emmit Fenn","Blinded","224259","unknown_value_please_contact_support"
"2022-04-12 01:18","Coolio","Gangsta's Paradise","232174","unknown_value_please_contact_support"
"2022-04-12 01:21","The Weeknd","Hardest To Love","211395","R&B/Pop"
"2022-04-12 01:25","Dean Lewis","Waves","240002","unknown_value_please_contact_support"
"2022-04-12 01:32","The Weeknd","Too Late","239956","R&B/Pop"
"2022-04-12 01:37","Johnny Rivera","Cuando Parar? La Lluvia","284956","unknown_value_please_contact_support"
"2022-04-12 01:41","Master KG","Skeleton Move","267020","unknown_value_please_contact_support"
"2022-04-12 01:45","50 Cent","Just A Lil Bit","33690","unknown_value_please_contact_support"
"2022-04-12 01:45","Voltio","El Mellao","222541","unknown_value_please_contact_support"
"2022-04-12 01:48","Drake","0 To 100 / The Catch Up","148050","HipHop"
"2022-04-12 01:50","Gorillaz","Ascension (feat. Vince Staples)","155973","unknown_value_please_contact_support"
"2022-04-12 01:53","Daft Punk","Within","140939","unknown_value_please_contact_support"
"2022-04-12 02:00","Future","Georgia (Future feat. Young Thug)","17408","unknown_value_please_contact_support"
"2022-04-12 02:03","Rauw Alejandro","Sexo Virtual","208284","Reggaeton"
"2022-04-12 02:07","Kanye West","I Love It (& Lil Pump)","32316","HipHop"
"2022-04-12 02:07","Golpe a Golpe","Conmigo","226442","unknown_value_please_contact_support"
"2022-04-12 02:11","Alexis y Fido","Ojos Que No Ven","192426","Reggaeton"
"2022-04-12 02:16","R.K.M & Ken-Y","Tuve un Sueno","189506","Reggaeton"
"2022-04-12 02:21","J Alvarez","Sexo, Sudor y Calor","251473","unknown_value_please_contact_support"
"2022-04-12 02:30","Tito ""El Bambino""","Mi Cama Huele a Ti (feat. Zion & Lennox)","225560","Reggaeton"
"2022-04-12 02:34","Romeo Santos","Sus Huellas","216736","Bachata"
"2022-04-12 02:38","Rauw Alejandro","Desesperados","224996","Reggaeton"
"2022-04-12 02:59","Bad Bunny","Una Vez","232479","Reggaeton"
"2022-04-12 03:10","Bad Bunny","Otra Noche en Miami","233128","Reggaeton"
"2022-04-12 03:14","Zion & Lennox","Embri?game","219058","unknown_value_please_contact_support"
"2022-04-12 03:17","Wisin","Esc?pate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arc?ngel, Noriel & Almighty) - Remix","215546","unknown_value_please_contact_support"
"2022-04-12 03:22","Ala Jaza","Nadie Se Meta","263026","unknown_value_please_contact_support"
"2022-04-12 03:25","Maffio","Traigan Agua (feat. Nestor Torres)","208403","unknown_value_please_contact_support"
"2022-04-12 03:28","Machine Gun Kelly","el Diablo","146264","unknown_value_please_contact_support"
"2022-04-12 03:31","Rauw Alejandro","Fantasias","199693","Reggaeton"
"2022-04-12 03:37","Swedish House Mafia","Moth To A Flame (with The Weeknd, Chris Lake) - Chris Lake Remix","21733","ElecrtoPop"
"2022-04-12 03:37","Chris Brown","Big Slimes (feat. Gunna & Lil Duke)","327913","R&B/Pop"
"2022-04-12 03:41","Aljadaqui","Paso la Vida Pensando - Version Original","27485","BaladaPop"
"2022-04-12 03:44","Tommy Torres","Quisiera Ser El","178356","unknown_value_please_contact_support"
"2022-04-12 03:48","Romeo Santos","H?roe Favorito","239817","Bachata"
"2022-04-12 03:55","Nio Garcia","M?rame - Remix","377580","unknown_value_please_contact_support"
"2022-04-12 03:58","Sean Kingston","Chance","174220","unknown_value_please_contact_support"
"2022-04-12 04:01","Labrinth","Still Don't Know My Name","153294","R&B/Pop"
"2022-04-12 04:02","Al2 El Aldeano","Amandote","14863","unknown_value_please_contact_support"
"2022-04-12 04:02","blackbear","SWEAR TO GOD","55069","unknown_value_please_contact_support"
"2022-04-12 04:02","DJ Snake","Maradona Riddim","21854","ElectroPop"
"2022-04-12 04:06","Dj YoYo RD","Yo Siento","194073","unknown_value_please_contact_support"
"2022-04-12 04:10","Daddy Yankee","PARA SIEMPRE","210327","Reggaeton"
"2022-04-12 04:13","Gyptian","Wine Slow","154671","unknown_value_please_contact_support"
"2022-04-12 04:22","Nacho","Cadela (with Bryant Myers, Almighty, Dayme y El High, MC Bin Laden)","28490","unknown_value_please_contact_support"
"2022-04-12 04:22","NF","Got You On My Mind","241160","unknown_value_please_contact_support"
"2022-04-12 04:30","Ozuna","El Farsante","218199","Reggaeton"
"2022-04-12 04:35","ChiChi Peralta","Procura","271024","unknown_value_please_contact_support"
"2022-04-12 04:48","Rafa Espino","Mente O Coraz?n - feat. Lou Cornago","259901","R&B/Pop"
"2022-04-12 04:57","The Weeknd","Escape From LA","355960","R&B/Pop"
"2022-04-12 04:57","Daddy Yankee","A Lo Cl?sico","36123","Reggaeton"
"2022-04-12 05:03","Lenny Tav?rez","Secreto","122120","unknown_value_please_contact_support"
"2022-04-12 05:19","Canserbero","Is Canzoo","86547","Hiphop/Rap"
"2022-04-12 05:20","iZaak","Que Va a Ser De Mi","59217","unknown_value_please_contact_support"
"2022-04-12 05:24","Gerardo","Sue?a","259026","unknown_value_please_contact_support"
"2022-04-12 05:28","Lui-G 21+","Gata Oficial (feat. Arcangel)","234591","unknown_value_please_contact_support"
"2022-04-12 05:29","Shadow Blow","Foke To","37792","unknown_value_please_contact_support"
"2022-04-12 05:34","Tarrus Riley","Let Me In","152417","unknown_value_please_contact_support"
"2022-04-12 05:36","G Sony","Punto Final","70710","unknown_value_please_contact_support"
"2022-04-12 12:36","El Alfa","Intro","240002","unknown_value_please_contact_support"
"2022-04-12 12:39","Rubiera","YO","189178","unknown_value_please_contact_support"
"2022-04-12 12:51","Sebastian Yatra","No Me Llames (feat. Alkilados)","90482","unknown_value_please_contact_support"
"2022-04-12 13:09","El Philippe","No Religi?n","274972","unknown_value_please_contact_support"
"2022-04-12 13:09","Tercer Cielo","La Calle","31867","unknown_value_please_contact_support"
"2022-04-12 13:16","Los Inquebrantables","Inquebrantables","117450","unknown_value_please_contact_support"
"2022-04-12 13:41","Joe Arroyo","Yamulemau","268609","unknown_value_please_contact_support"
"2022-04-12 13:45","Farruko","Chillax (feat. Ky-Mani Marley)","14730","Reggaeton"
"2022-04-12 14:19","Glam","Sex Drive - Glam Drivin' Mix","82103","unknown_value_please_contact_support"
"2022-04-12 14:23","Arc?ngel","Como Tiene Que Ser","239898","Reggaeton"
"2022-04-12 14:24","Alejandro Sanz","Eso","17278","unknown_value_please_contact_support"
"2022-04-12 15:17","Juan Bautista","La Puerta Rompere","71534","unknown_value_please_contact_support"
"2022-04-12 15:29","Mackie","Ultima Hora","114040","unknown_value_please_contact_support"
"2022-04-12 15:45","50 Cent","I Get Money","223702","unknown_value_please_contact_support"
"2022-04-12 15:46","Victor Estevez","Tres Corazones","60005","unknown_value_please_contact_support"
"2022-04-12 17:01","The Weeknd","After Hours","344116","R&B/Pop"
"2022-04-12 17:06","Sociedades Secretas","Ruinas Mayas de Xunantunich","170240","unknown_value_please_contact_support"
"2022-04-12 17:15","Post Malone","rockstar (feat. 21 Savage)","218129","unknown_value_please_contact_support"
"2022-04-12 17:18","Diamond la Mafia","Qui?reme Ahora - Remix","216075","unknown_value_please_contact_support"
"2022-04-12 17:23","Brock Ansiolitiko","M?s que amigos","243392","BaladaPop"
"2022-04-12 17:41","Jay Wheeler","La Curiosidad","219048","Reggaeton"
"2022-04-12 17:44","H?ctor ""El Father""","El Telefono","235626","unknown_value_please_contact_support"
"2022-04-12 17:49","Billie Eilish","everything i wanted","245425","unknown_value_please_contact_support"
"2022-04-12 17:53","Noriel","Desperte Sin Ti","258393","unknown_value_please_contact_support"
"2022-04-12 17:57","Farruko","Lejos de Aqu?","221735","Reggaeton"
"2022-04-12 18:00","Halsey","Without Me","201643","unknown_value_please_contact_support"
"2022-04-12 18:23","Lyanno","En Tu Cuerpo","243527","Reggaeton"
"2022-04-12 18:36","Frankie Ruiz","La Cura","298973","unknown_value_please_contact_support"
"2022-04-12 23:29","Canserbero","Stupid Love Story","282681","Hiphop/Rap"
"2022-04-12 23:33","Sia","Helium (Sia vs. David Guetta & Afrojack)","237355","BaladaPop"
"2022-04-12 23:41","?ejo","Mi Ex","233594","unknown_value_please_contact_support"
"2022-04-12 23:55","Prince Royce","La Carretera - Recorded at Spotify Studios NYC","222985","Bachata"
"2022-04-13 10:21","Genio Y Baby Johnny","No Te Necesito","306272","unknown_value_please_contact_support"
"2022-04-13 10:28","Fania All Stars","Mi Gente - Live","449864","unknown_value_please_contact_support"
"2022-04-13 10:32","Tekno","Duro","211999","unknown_value_please_contact_support"
"2022-04-13 10:35","Daddy Yankee","Definitivamente","217758","Reggaeton"
"2022-04-13 10:39","Emmit Fenn","Painting Greys","54914","unknown_value_please_contact_support"
"2022-04-13 13:29","Jay Wheeler","Mensaje de Voz","27551","Reggaeton"
"2022-04-13 14:03","David Guetta","Bang My Head (feat. Sia & Fetty Wap)","98443","unknown_value_please_contact_support"
